layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin,layer_name,shape
1,Linear,0.06012959597130707,202,512,2.5346534653465347,2.111395127051998,5.133352653198552,0.7242658772575689,True,269.9361267089844,dense,5.300797638547565,3.0947933687137597,2.431261011938544,0,202,1243.9226298332214,202,90,0,1,0.11715133272988439,269.9361267089844,4.608211005317872,success,16.429733276367188,0.47160759568214417,,0,269.9361267089844,2.330030679702759,driving_policy_policy_model.temporal_summarizer._extra_in.0_linear,"(512, 202)"
1,Linear,0.02854395147620814,512,1024,2.0,1.634186088976665,2.1736021797186953,0.6710729934832977,True,21.383678436279297,dense,2.333984316706156,1.9283186633774168,1.3300824149591282,0,512,84.78492949926294,512,269,0,1,0.038667008283025314,21.383678436279297,3.9649366105046657,success,4.62424898147583,0.033147960901260376,over-trained,0,21.383678436279297,0.014606784097850323,driving_policy_policy_model.temporal_hydra.resblock.block_a.0_linear,"(1024, 512)"
1,Linear,0.03659727646268962,512,1024,2.0,1.9670868913347523,3.118257075946882,0.8223945797144654,True,38.47828674316406,dense,3.481093176868571,2.609872537324831,1.5852157267089566,0,512,407.2607318209484,512,165,0,1,0.07528761238165542,38.47828674316406,10.5841700941454,success,6.203086853027344,0.11428476870059967,over-trained,0,38.47828674316406,0.43200716376304626,driving_policy_policy_model.temporal_hydra.resblock.block_a.3_linear,"(512, 1024)"
1,Linear,0.05754233429549027,512,1024,2.0,2.8228649249069893,5.480669599250145,0.9109820010011109,True,87.40321350097656,dense,6.054854831343357,3.430769896254701,1.9415274003699374,0,512,2696.3104584366083,512,57,0,1,0.24144435755982485,87.40321350097656,30.849099826363734,success,9.348968505859375,0.39030924439430237,,0,87.40321350097656,11.878255844116211,driving_policy_policy_model.temporal_hydra.resblock.block_b.1_linear,"(1024, 512)"
1,Linear,0.030468761954640156,512,1024,2.0,2.850163376814634,4.4531624251218735,0.8507569292121958,True,36.510986328125,dense,4.474356903142042,2.45571044035515,1.5624235653812817,0,512,285.5685920692049,512,37,0,1,0.304164985497786,36.510986328125,7.821442825531854,success,6.0424323081970215,0.05881069600582123,,0,36.510986328125,1.5898432731628418,driving_policy_policy_model.temporal_hydra.resblock.block_b.4_linear,"(512, 1024)"
1,Linear,0.05957699022689289,256,512,2.0,2.6100213447920106,3.6024146722319474,0.8587390640412381,True,24.000717163085938,dense,4.23451202609358,2.686477155013656,1.3802242190164997,0,256,485.82197480276227,256,42,0,1,0.24843168701187945,24.000717163085938,20.241977416823858,success,4.899052619934082,0.21320483088493347,,0,24.000717163085938,3.455350875854492,driving_policy_policy_model.temporal_hydra.in_layer.plan_linear,"(256, 512)"
1,Linear,0.10741927234334381,32,512,16.0,1.7582924247074665,4.211741875793228,0.7535855223987773,True,248.5187530517578,dense,4.412065334852806,2.9067340545910634,2.3953591658645466,0,32,806.7408615648746,32,25,0,1,0.1516584849414933,248.5187530517578,3.2461971245963017,success,15.764477729797363,0.5624810457229614,over-trained,0,248.5187530517578,4.446091175079346,driving_policy_policy_model.temporal_hydra.in_layer.desire_state_linear,"(32, 512)"
1,Linear,0.053554057288598966,256,256,1.0,2.6487381598305895,3.404145907095747,0.8296291461515138,True,19.283920288085938,dense,3.6953989466332575,2.3528827729286643,1.2851953276172352,0,256,225.36308180553192,256,25,0,1,0.3297476319661179,19.283920288085938,11.686580240884243,success,4.391345977783203,0.0016556116752326488,,0,19.283920288085938,2.277920961380005,driving_policy_policy_model.temporal_hydra.res_layer.plan.0_linear,"(256, 256)"
1,Linear,0.07904017492553722,256,256,1.0,2.641422908831673,3.96456874923169,0.8143129930367168,True,31.68995475769043,dense,4.287489144819067,2.5906822197507218,1.5009216191682297,0,256,389.6567642241894,256,27,0,1,0.3158919860893283,31.68995475769043,12.295907873760171,success,5.629383087158203,0.0019380880985409021,,0,31.68995475769043,4.10164213180542,driving_policy_policy_model.temporal_hydra.res_layer.plan.2_linear,"(256, 256)"
1,Linear,0.14366231332759155,32,32,1.0,3.8509818706950396,3.197537414545888,0.7908735966246525,True,6.765773296356201,dense,3.291470035061569,1.5244064779971345,0.8303174416058169,0,32,33.45079763564854,32,5,0,1,1.2749978530987247,6.765773296356201,4.944120379212812,success,2.6011099815368652,0.0010288344928994775,,0,6.765773296356201,2.5291435718536377,driving_policy_policy_model.temporal_hydra.res_layer.desire_state.0_linear,"(32, 32)"
